Iter_no,x,y,Spec_ID,Adhaar_number,SpeedLength,VisionRadius,MaxEnergy,CurrentEnergy
1,3,87,1,4,4,3,300,300
1,8,39,1,7,6,3,300,300
1,27,91,1,18,7,3,300,300
1,29,5,1,10,7,3,300,300
1,29,6,1,12,7,3,300,300
1,33,76,1,1,6,3,300,300
1,39,77,1,17,6,3,300,300
1,42,76,1,16,7,3,300,300
1,44,87,1,19,6,3,300,300
1,47,61,1,8,6,3,300,300
1,50,24,1,9,4,3,300,300
1,66,27,1,5,4,3,300,300
1,69,15,1,14,7,3,300,300
1,70,98,1,0,4,3,300,300
1,73,52,1,11,4,3,300,300
1,78,55,1,15,4,3,300,300
1,80,7,1,13,4,3,300,300
1,89,40,1,3,6,3,300,300
1,91,99,1,6,7,3,300,300
1,92,65,1,2,4,3,300,300
2,3,89,1,4,4,3,300,296
2,7,40,1,7,6,3,300,294
2,25,88,1,18,7,3,300,293
2,27,7,1,12,7,3,300,293
2,28,5,1,10,7,3,300,295
2,34,76,1,1,6,3,300,299
2,39,76,1,17,6,3,300,297
2,42,79,1,16,7,3,300,293
2,42,85,1,19,6,3,300,294
2,45,59,1,8,6,3,300,294
2,48,24,1,9,4,3,300,296
2,68,17,1,14,7,3,300,293
2,68,25,1,5,4,3,300,296
2,69,98,1,0,4,3,300,299
2,75,52,1,11,4,3,300,296
2,78,56,1,15,4,3,300,297
2,80,6,1,13,4,3,300,299
2,89,36,1,3,6,3,300,294
2,91,99,1,6,7,3,300,300
2,93,65,1,2,4,3,300,299
3,2,89,1,4,4,3,300,293
3,8,40,1,7,6,3,300,293
3,26,90,1,18,7,3,300,286
3,28,6,1,10,7,3,300,292
3,29,8,1,12,7,3,300,286
3,31,77,1,1,6,3,300,293
3,40,75,1,17,6,3,300,291
3,42,78,1,16,7,3,300,292
3,43,59,1,8,6,3,300,288
3,43,85,1,19,6,3,300,293
3,49,24,1,9,4,3,300,295
3,67,17,1,14,7,3,300,288
3,69,26,1,5,4,3,300,292
3,70,99,1,0,4,3,300,295
3,75,53,1,11,4,3,300,295
3,78,58,1,15,4,3,300,293
3,79,6,1,13,4,3,300,296
3,90,37,1,3,6,3,300,288
3,91,67,1,2,4,3,300,295
3,91,99,1,6,7,3,300,300
4,2,85,1,4,4,3,300,289
4,8,38,1,7,6,3,300,287
4,27,6,1,10,7,3,300,289
4,29,7,1,20,5,3,132,132
4,29,75,1,1,6,3,300,287
4,29,88,1,18,7,3,300,279
4,30,7,1,21,5,3,154,154
4,40,79,1,16,7,3,300,285
