Insects,Plants
0,0
14,80
25,80
34,80
43,80
47,80
52,80
55,80
57,80
60,80
63,80
65,80
66,80
68,80
72,80
76,80
77,80
77,80
78,80
81,80
82,80
83,80
82,80
82,80
83,80
83,80
80,80
77,80
73,80
65,80
60,80
55,80
46,80
36,80
23,80
16,80
3,80
-4,80
-8,80
-17,80
-24,80
-31,160
-37,160
-38,160
-43,160
-46,160
-51,160
-53,160
-56,160
-58,160
-62,160
-68,160
-72,160
-74,160
-78,160
-81,160
-84,160
-85,160
-88,160
-90,160
-94,160
-96,160
-101,160
-102,160
-111,160
-114,160
-118,160
-121,160
-123,160
-126,160
-127,160
-133,160
-136,160
-141,160
-142,160
-145,160
-146,160
-147,160
-149,160
-153,160
-153,160
-153,240
-154,240
-154,240
-155,240
-155,240
-155,240
-157,240
-160,240
-160,240
-161,240
-161,240
-161,240
-161,240
-163,240
-163,240
-163,240
-163,240
-163,240
-166,240
-166,240
-166,240
-167,240
-167,240
-168,240
-169,240
-170,240
-170,240
-171,240
-173,240
-174,240
-174,240
-174,240
-174,240
-175,240
-175,240
-175,240
-175,240
-175,240
-175,240
-175,240
-178,320
-178,320
-178,320
-178,320
-178,320
-181,320
-181,320
-182,320
-182,320
-182,320
-182,320
-182,320
-183,320
-184,320
-184,320
-185,320
-185,320
-185,320
-185,320
-185,320
-185,320
-185,320
-185,320
-185,320
-186,320
-186,320
-186,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,320
-187,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
-188,400
